"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"2293",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5251,35,NA,"A1","15 HOLLY AVENUE"," ",10308," 1 "," -   "," 1 "," 6,000 "," 1,933 ",1940,1,"A1"," $659,600 ","12/16/16",659600,1933,6000
"2294",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5252,56,NA,"A1","95 ACACIA AVENUE"," ",10308," 1 "," -   "," 1 "," 5,700 "," 1,628 ",1930,1,"A1"," $624,500 ","4/8/16",624500,1628,5700
"2295",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5252,64,NA,"A1","111 ACACIA AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,022 ",1930,1,"A1"," $387,000 ","10/6/16",387000,1022,3800
"2296",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5252,68,NA,"A1","119 ACACIA AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,704 ",1930,1,"A1"," $499,000 ","2/26/16",499000,1704,3800
"2297",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5253,70,NA,"A1","33 OCEANVIEW PLACE"," ",10308," 1 "," -   "," 1 "," 5,250 "," 2,338 ",1993,1,"A1"," $665,000 ","10/3/16",665000,2338,5250
"2298",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5254,38,NA,"A2","55 SYCAMORE STREET"," ",10308," 1 "," -   "," 1 "," 5,700 "," 1,351 ",1960,1,"A2"," $470,000 ","3/10/16",470000,1351,5700
"2299",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5254,52,NA,"A1","89 RAMBLEWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 4,750 "," 1,088 ",1930,1,"A1"," $499,000 ","7/19/16",499000,1088,4750
"2300",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5254,70,NA,"A1","123 RAMBLEWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,176 ",1920,1,"A1"," $484,000 ","12/12/16",484000,1176,3800
"2301",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5256,20,NA,"A2","108 RAMBLEWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,064 ",1970,1,"A2"," $-   ","4/27/16",NA,1064,3800
"2302",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5256,24,NA,"A1","100 RAMBLEWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,714 ",1910,1,"A1"," $540,000 ","4/13/16",540000,1714,3800
"2303",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5256,35,NA,"A2","80 RAMBLEWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,911 ",1966,1,"A2"," $550,000 ","10/27/16",550000,1911,3800
"2304",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5256,71,NA,"A5","133 CLOVERDALE AVENUE"," ",10308," 1 "," -   "," 1 "," 2,375 "," 1,350 ",1993,1,"A5"," $-   ","2/3/16",NA,1350,2375
"2305",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5258,50,NA,"A2","95 ELMWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 4,750 "," 1,138 ",1935,1,"A2"," $340,000 ","12/30/16",340000,1138,4750
"2306",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5259,26,NA,"A5","22 CLOVERDALE AVENUE"," ",10308," 1 "," -   "," 1 "," 2,185 "," 1,095 ",1970,1,"A5"," $-   ","7/22/16",NA,1095,2185
"2307",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5260,34,NA,"A2","90 ELMWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 1,075 ",1955,1,"A2"," $-   ","9/12/16",NA,1075,3800
"2308",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5261,29,NA,"A2","28 ELMWOOD AVENUE"," ",10308," 1 "," -   "," 1 "," 3,800 "," 988 ",1950,1,"A2"," $-   ","4/23/16",NA,988,3800
"2309",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5262,91,NA,"A2","109 HILLCREST STREET"," ",10308," 1 "," -   "," 1 "," 8,460 "," 1,754 ",1940,1,"A2"," $10 ","1/11/17",10,1754,8460
"2310",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5263,24,NA,"A2","348 ARMSTRONG AVENUE"," ",10308," 1 "," -   "," 1 "," 3,600 "," 912 ",1950,1,"A2"," $325,000 ","4/7/16",325000,912,3600
"2311",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5263,87,NA,"A2","315 ROBINSON AVENUE"," ",10312," 1 "," -   "," 1 "," 5,700 "," 1,358 ",1930,1,"A2"," $-   ","7/25/16",NA,1358,5700
"2312",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5264,11,NA,"A2","352 ROBINSON AVENUE"," ",10312," 1 "," -   "," 1 "," 4,750 "," 1,098 ",1950,1,"A2"," $450,000 ","7/19/16",450000,1098,4750
"2313",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5264,20,NA,"A2","330 ROBINSON AVENUE"," ",10312," 1 "," -   "," 1 "," 7,600 "," 1,568 ",1950,1,"A2"," $-   ","4/20/16",NA,1568,7600
"2314",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5264,42,NA,"A1","288 ROBINSON AVENUE"," ",10312," 1 "," -   "," 1 "," 3,325 "," 2,000 ",2006,1,"A1"," $720,000 ","10/6/16",720000,2000,3325
"2315",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5265,65,NA,"A2","159 PACIFIC AVENUE"," ",10312," 1 "," -   "," 1 "," 4,750 "," 972 ",1945,1,"A2"," $-   ","7/18/16",NA,972,4750
"2316",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5266,18,NA,"A2","230 PACIFIC AVENUE"," ",10312," 1 "," -   "," 1 "," 6,600 "," 1,215 ",1955,1,"A2"," $529,000 ","11/21/16",529000,1215,6600
"2317",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5266,68,NA,"A1","277 THORNYCROFT AVENUE"," ",10312," 1 "," -   "," 1 "," 5,000 "," 1,563 ",1945,1,"A1"," $605,000 ","1/3/17",605000,1563,5000
"2318",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5268,1,NA,"A1","4147 RICHMOND AVENUE"," ",10312," 1 "," -   "," 1 "," 9,588 "," 1,792 ",1920,1,"A1"," $-   ","4/25/16",NA,1792,9588
"2319",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5268,146,NA,"A1","280 WINCHESTER AVENUE"," ",10312," 1 "," -   "," 1 "," 5,292 "," 1,318 ",1955,1,"A1"," $375,000 ","4/27/16",375000,1318,5292
"2320",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5268,187,NA,"A1","191 RIDGECREST AVENUE"," ",10312," 1 "," -   "," 1 "," 3,273 "," 1,662 ",1990,1,"A1"," $460,000 ","5/19/16",460000,1662,3273
"2321",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5269,20,NA,"A1","36 HILLCREST STREET"," ",10308," 1 "," -   "," 1 "," 4,000 "," 1,520 ",1925,1,"A1"," $-   ","1/2/17",NA,1520,4000
"2322",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5269,22,NA,"A1","32 HILLCREST STREET"," ",10308," 1 "," -   "," 1 "," 4,000 "," 2,250 ",2003,1,"A1"," $790,000 ","12/1/16",790000,2250,4000
"2323",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5271,6,NA,"A1","69 WIMAN AVENUE"," ",10308," 1 "," -   "," 1 "," 3,600 "," 1,480 ",1925,1,"A1"," $-   ","9/27/16",NA,1480,3600
"2324",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",5274,9,NA,"A5","100 DAVID STREET"," ",10308," 1 "," -   "," 1 "," 2,500 "," 1,184 ",1960,1,"A5"," $390,000 ","5/16/16",390000,1184,2500
